;phoneId;location;motionType;mean(SCL);mean(SCR);mean(HR);mean(RR);mean(skinTemp);mad(SCL);mad(SCR);mad(HR);mad(RR);mad(skinTemp);std(SCL);std(SCR);std(HR);std(RR);std(skinTemp);RMSSD;SDNN;NN50;PNN50;receptivity
55;5a2b02b7b07e944d86d41969;{'lat': 48.14910522802559, 'long': 11.575945347236905};1.0;2527.05274151436;3.3973890339425417;65.34399477806788;0.9415201879895554;30.520248041775456;42.269494645133584;3.393384302844808;3.671012311761618;0.07489443344763407;0.14246973188173603;50.007710172910784;5.844750085655732;4.446922974358929;0.09457300065404105;0.1668549234402189;0.04625044165607698;0.09454216060950846;0;0.0;1.0
56;5a2b02b7b07e944d86d41969;{'lat': 48.14910548524276, 'long': 11.575906768988785};1.0;2685.261476655809;7.18668838219326;72.10618892508144;0.8315996872964162;28.989035830618892;75.65556370889878;6.864603932137215;2.38740273106346;0.06573804304767153;0.07591652749631254;98.00257142952763;13.490315448251854;3.044401021279043;0.08214336590331331;0.08569819480464214;0.041363632706254594;0.08211663149549038;0;0.0;1.0
57;5a2b02b7b07e944d86d41969;{'lat': 48.14910469839012, 'long': 11.575944082885137};1.0;1851.5579432624113;3.849918946301931;73.17082066869301;0.821520855927051;32.03901519756838;60.956103214124035;4.036616968924282;1.8933705342707479;0.05504228035143806;0.15896043828124282;75.95585051696565;8.68801001215227;2.3808593226846466;0.0713496004874554;0.1916956044272479;0.037879763100951536;0.07132793206215265;0;0.0;-1.0
58;5a2b02b7b07e944d86d41969;{'lat': 48.14908200429525, 'long': 11.576152266134246};1.0;3848.7778051643186;17.184237089201876;70.77253521126761;0.8257324281690134;30.47685211267606;163.68226491106265;15.340897308735048;2.076319182701845;0.09337426947034319;0.14238392184090412;195.72387449248478;26.31411959218179;2.619051045975076;0.12090624157203449;0.16230333997637117;0.0664203727021485;0.12086370401159247;0;0.0;1.0
59;5a2b02b7b07e944d86d41969;{'lat': 48.149095981466, 'long': 11.575858473378547};1.0;4412.3004812414065;16.68197800039283;65.56040070713023;0.9115138338243952;29.792068355922215;236.75333678958108;15.560321674111037;3.572116761910251;0.0797220926693401;0.14369889808664402;286.1274300797388;27.404020032427198;4.239447145971992;0.10404242992088683;0.16742120096409518;0.04581323029877487;0.10401180123790871;0;0.0;1.0
60;5a2b02b7b07e944d86d41969;{'lat': 48.149093259361436, 'long': 11.575903460734787};1.0;2368.1022736500204;11.611043442955742;69.08830694275274;0.8448682777101089;31.93929354445798;288.0427704941787;14.478298797847607;3.104435041785292;0.07747912681869491;0.0822546106245754;330.7909907399479;35.27114303350132;4.004734819052677;0.10299956625428673;0.10213975356103129;0.04915908780990109;0.10296822877413572;0;0.0;-1.0
61;5a2b02b7b07e944d86d41969;{'lat': 48.149103533908445, 'long': 11.57595615061599};1.0;2328.632796852647;3.326287553648053;69.7310443490701;0.855995284692417;31.923469241773965;30.78206773011108;2.835076626941008;2.544245713782821;0.05123912208120732;0.11568668504567205;40.28851335491965;4.23956096648573;3.0268273969766266;0.06534156507785589;0.13432157851525325;0.03342638123305143;0.06531821460007985;0;0.0;-1.0
62;5a2b02b7b07e944d86d41969;{'lat': 48.14910852778167, 'long': 11.575921301858498};1.0;3058.5621971085316;17.68811850946854;72.27428222357972;0.801939909590714;31.764086744043986;125.24785813006015;15.61983138596399;1.851661841001967;0.1071477417643088;0.1822353344635309;155.32544706558767;27.329185512611627;2.3086749448516484;0.14011059273886056;0.21210805891500334;0.0806065638870351;0.14006783405563353;0;0.0;1.0
63;5a2b02b7b07e944d86d41969;{'lat': 48.145744005628934, 'long': 11.579463136011825};1.0;2771.1577309759055;7.480594557115609;69.8653146125845;0.8555190681227243;30.967472698907955;68.08797577418783;6.106650821761769;4.349389617810402;0.1005394897306032;0.18465176048539647;82.30177871084197;9.326635818501085;5.0888114853401225;0.12767425639426427;0.2093505110600637;0.054397374058854676;0.12764108863089363;0;0.0;-1.0
64;5a2b02b7b07e944d86d41969;{'lat': 48.14574603241528, 'long': 11.579402136817642};1.0;291572.0;0.0;92.57295136575617;0.5956870672884736;22.877968021319123;0.0;0.0;14.364461444979383;0.12542391694633068;0.23461210181442377;0.0;0.0;15.836061417441096;0.15467482302400778;0.2732409223439067;0.10872058334996389;0.15462334202127492;0;0.0;-1.0
65;5a2b02b7b07e944d86d41969;{'lat': 48.149098160504806, 'long': 11.576031916667986};1.0;9264.445505617978;420.75758426966286;80.54705056179775;0.7274263707865161;31.054845505617973;3233.5700022093165;542.9369815995454;7.04841954929933;0.098013617504103;0.04321564117535917;4090.0494512034566;1069.2848857068857;9.046722154317974;0.1279262061603949;0.05531336660440341;0.06661513834682892;0.127881325264448;0;0.0;-1.0
66;5a2b02b7b07e944d86d41969;{'lat': 48.149109123454416, 'long': 11.575912903113917};1.0;3761.4713688946013;24.017127249357326;71.706940874036;0.8402632390745494;32.85324550128534;1308.5729177543103;27.386815417776333;3.132308139650148;0.07836121088282519;0.034978241618810336;1552.9974232016891;113.57697074669834;3.941074415551354;0.10189785850080557;0.04295896657661273;0.060762131165681466;0.10186514244348911;0;0.0;-1.0
67;5a2b02b7b07e944d86d41969;{'lat': 48.14911182322505, 'long': 11.575915527034114};1.0;2127.846250235538;3.1530148859996237;70.11531938948559;0.8648755862068958;31.7668117580554;140.74382446341812;3.183586116569267;1.9483932981845191;0.05700682263503618;0.2480992061957695;166.4982837209888;5.9526691019446725;2.4109097394555103;0.07133967286464807;0.2862060872632808;0.03569621469708546;0.07131952633041971;0;0.0;-1.0
68;5a2b02b7b07e944d86d41969;{'lat': 48.14911192681171, 'long': 11.575903957648926};1.0;3387.6635281993626;30.804094060333515;69.87127599775154;0.8553227296233833;30.312596964586845;693.097176719673;36.21822345366903;2.262713355900028;0.0746925066453575;0.13767848053030143;781.7818519009502;75.29720323761349;2.7877203619370303;0.0997433111007969;0.16311368850852956;0.05432601729132508;0.09971530165265392;0;0.0;-1.0
