;phoneId;location;heartRates;gsr;rrInterval;motionType;skinTemperature;mean(GSR);mean(HR);mean(RR);mean(skinTemp);mad(GSR);mad(HR);mad(RR);mad(skinTemp);std(GSR);std(HR);std(RR);std(skinTemp);receptivity
471000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.126315789474;-0.307516580693;0.346428571429;1.0;-0.261538461538;2147.85;71.7;0.9100712;31.92;4.335;0.42;0.07474696;3.5527136788e-15;4.74923816605;0.470162345982;0.0832694313492;3.64500732561e-15;-1.0
474000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.0969529085873;-0.315285265485;0.357142857143;1.0;-0.261538461538;2142.57894737;69.5789473684;0.91256;31.92;9.13573407202;0.487534626039;0.0419166315789;3.5527136788e-15;9.78840464514;0.507257273502;0.0582691890224;3.65006632502e-15;-1.0
477000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.563157894737;-0.326160648489;0.539285714286;1.0;-0.261538461538;2135.2;65.15;0.9548696;31.92;4.78;1.155;0.0286212;3.5527136788e-15;5.2072823501;1.72520021721;0.0354941460294;3.64500732561e-15;-1.0
480000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.752631578947;-0.347089167281;0.135714285714;1.0;-0.261538461538;2121.0;63.35;0.8611248;31.92;9.6;0.455;0.03882528;3.5527136788e-15;10.5830052443;0.48936048493;0.046898378176;3.64500732561e-15;-1.0
483000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.478696741855;-0.357335859915;0.326530612245;1.0;-0.182417582418;2114.04761905;65.9523809524;0.905449142857;31.9457142857;4.42630385488;1.2970521542;0.0185108027211;0.0367346938776;5.10368680932;1.39557122628;0.0207044151868;0.0416619044898;-1.0
486000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.340720221607;-0.380211767444;0.00375939849624;1.0;0.0153846153846;2098.52631579;67.2631578947;0.830473263158;32.01;1.8891966759;1.27977839335;0.0220613850416;0.0;3.67224456116;1.48481593559;0.0256289471428;0.0;-1.0
489000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.102493074792;-0.370050032967;-0.0338345864662;1.0;0.0153846153846;2105.42105263;69.5263157895;0.821740631579;32.01;3.39058171745;1.39058171745;0.0216017728532;0.0;4.18085304259;1.61136315834;0.0261574346436;0.0;-1.0
492000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.080701754386;-0.404470646033;0.157142857143;1.0;0.0153846153846;2082.06666667;71.2666666667;0.8661024;32.01;2.48888888889;1.51111111111;0.03716608;0.0;3.41146526262;1.70991506333;0.0439878029016;0.0;-1.0
495000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.224376731302;-0.39890625606;0.342105263158;1.0;0.0153846153846;2085.84210526;68.3684210526;0.909066947368;32.01;5.8836565097;0.731301939058;0.0287717229917;0.0;6.36189313102;0.955133865882;0.0329893707553;0.0;-1.0
498000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.529085872576;-0.406740875771;0.300751879699;1.0;0.0153846153846;2080.52631579;65.4736842105;0.899461052632;32.01;6.50415512465;0.498614958449;0.0145237451524;0.0;7.34369284226;0.512989176043;0.0171173439706;0.0;-1.0
501000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.578947368421;-0.415770081061;0.371428571429;1.0;0.0153846153846;2074.4;65.0;0.9158784;32.01;2.88;0.0;0.01725568;0.0;3.51537974291;0.0;0.019852097093;0.0;-1.0
504000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.440789473684;-0.410280029477;0.125;1.0;0.0153846153846;2078.125;66.3125;0.858636;32.01;7.359375;0.4296875;0.034221;0.0;8.55472578949;0.478713553878;0.0526431154499;0.0;-1.0
507000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.315789473684;-0.439941046426;0.125;1.0;0.0153846153846;2058.0;67.5;0.858636;32.01;1.6;0.9;0.0842044;0.0;2.29415733871;1.53896752813;0.100835428745;0.0;-1.0
510000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.131578947368;-0.441857037583;0.253571428571;1.0;0.0261538461539;2056.7;71.75;0.8885016;32.0135;2.52;0.375;0.0605608;0.00665;3.48077426353;0.444261658319;0.0795678843057;0.0156524758425;-1.0
513000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.00751879699248;-0.432045478471;-0.0714285714286;1.0;0.230769230769;2063.35714286;70.4285714286;0.813008;32.08;1.40816326531;0.489795918367;0.0118514285714;7.1054273576e-15;1.98483259736;0.513552591013;0.0145521466563;7.37365044277e-15;-1.0
516000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};0.102493074792;-0.459721521933;0.105263157895;1.0;0.230769230769;2044.57894737;71.4736842105;0.854051368421;32.08;3.75623268698;0.609418282548;0.0205906260388;0.0;4.90255930299;0.696692268479;0.0249606658481;0.0;-1.0
519000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.0473684210526;-0.469565217391;0.292857142857;1.0;0.230769230769;2037.9;70.05;0.8976272;32.08;1.33;1.365;0.02936784;0.0;1.65115589496;1.46808145479;0.0327001782091;0.0;-1.0
522000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.302631578947;-0.457535003685;0.0892857142857;1.0;0.230769230769;2046.0625;67.625;0.85034;32.08;4.796875;0.46875;0.009333;7.1054273576e-15;5.4463290389;0.5;0.0113344938073;7.33845381965e-15;-1.0
525000;5a26ff32b07e944d86d30c6b;{u'lat': 48.1491035339, u'long': 11.5759561506};-0.163157894737;-0.478260869565;0.0785714285714;1.0;0.230769230769;2032.0;68.95;0.8478512;32.08;6.6;0.095;0.07234112;0.0;8.52241626227;0.22360679775;0.100551237784;0.0;-1.0
